date,individual,foreign,institution
20240311,1803,-1053,-1125
20240312,-1781,-3719,5055
20240313,-2517,3338,-1103
20240314,-8389,4722,1865
20240315,10193,-10323,-610
20240318,-1865,-847,2254
20240319,9226,-2388,-7013
20240320,-14054,8516,5866
20240321,-29144,18706,10506
20240322,-5310,6659,-1630
20240325,3306,-428,-2908
20240326,-10861,6208,4822
20240327,-3538,2920,1448
20240328,647,744,-2449
20240329,-4882,7830,-2866
20240401,-3149,2683,247
20240402,-6271,10064,-3484
20240403,6777,34,-6746
20240404,-5640,5875,-147
20240405,6136,-1154,-4702
20240408,-933,2064,-1125
20240409,-183,3069,-3132
20240411,311,10628,-10803
20240412,5909,166,-6284
20240415,2443,-2387,-267
20240416,4943,-2678,-2364
20240417,3601,-1651,-2139
20240418,-6048,5742,247
20240419,9245,-3436,-6672
20240422,-583,-7495,7836
20240423,2039,-247,865
20240424,-8662,4890,3623
20240425,8369,-2845,-5071
20240426,-5615,4704,684
20240429,-6922,3422,3308
20240430,-5298,2412,2836
20240502,1454,63,-1418
20240503,-1182,898,-65
20240507,-18404,11073,7748
20240508,-4044,3996,411
20240509,4140,-3546,-691
20240510,-4887,1482,3555
20240513,-176,175,170
20240514,-1908,801,1226
20240516,-9648,4259,5938
20240517,7194,-2409,-1496
20240520,-3720,-169,3967
20240521,5002,-1058,-3272
20240522,-2647,2968,-330
20240523,-159,3567,-3711
20240524,12406,-3080,-9221
20240527,-1760,-1410,3259
20240528,-1536,453,1196
20240529,12724,-10220,-2582
20240530,11907,-7776,-4477
20240531,2812,-13399,10654
20240603,-4230,1828,2339
20240604,5167,-2038,-3160
20240605,-3306,5901,-2596
20240607,-4715,2873,1582
20240610,5566,179,-5670
20240611,3436,-2235,-1184
20240612,-2430,2359,99
20240613,-14072,15387,-1055
20240614,-2136,7295,-4672
20240617,3131,-1374,-1398
20240618,-3428,6511,-2240
20240619,-7510,2736,5493
20240620,-5845,4941,1654
20240621,3791,-3403,-280
20240624,4673,-5289,457
20240625,-2973,590,2434
20240626,-1557,4335,-3050
20240627,2547,5156,-7711
20240628,-2847,295,2405
20240701,-76,-642,542
20240702,3932,-301,-3513
20240703,-2602,1007,1800
20240704,-14167,3220,11106
20240705,-25147,13086,12560
20240708,-1875,5298,-3471
20240709,-2969,3270,-285
20240710,-2793,5275,138
20240711,-3476,6099,-849
20240712,4729,-5511,842
20240715,-367,-774,1257
20240716,-2903,1896,962
20240717,1037,-2542,1420
20240718,3689,-3491,130
20240719,7848,-4229,-3639
20240722,1414,-845,-238
20240723,-1990,2502,-246
20240724,2345,-2654,410
20240725,8267,-6785,-1529
20240726,-3730,-475,3983
20240729,-4847,4444,768
20240730,7269,-2407,-3539
20240731,-1772,1503,483
20240801,-3005,4412,-1738
20240802,16214,-8449,-7807
20240805,16945,-15198,-2693
20240806,4534,-1677,-3256
20240807,2934,-175,-3065
20240808,7962,-5167,-2822
20240809,-376,17,347
20240812,-1968,781,1469
20240813,-274,1318,-632
20240814,-3162,3901,-1143
20240816,-14658,12055,2159
20240819,1387,-1176,-155
20240820,-2792,2890,38
20240821,-138,314,-261
20240822,-1129,661,423
20240823,-1037,-2418,3453
20240826,986,-4648,3997
20240827,-44,-4066,3701
20240828,548,-3396,2528
20240829,6192,-4178,-2657
20240830,-1152,-3807,4831
20240902,1577,2392,-4151
20240903,5134,-2871,-2471
20240904,16502,-9886,-7302
20240905,4652,-5899,1204
20240906,1708,-2649,829
20240909,4694,-5402,450
20240910,6851,-6654,-600
20240911,8907,-10284,425
20240912,-2424,2785,255
20240913,4037,-9596,4365
20240919,2641,-11713,8795
20240920,-2444,-326,2728
20240923,3713,-7019,3443
20240924,-2101,-3790,5721
20240925,348,-5718,5495
20240926,-12634,4904,8024
20240927,1776,2654,-4312
20240930,11892,-10001,-2135
20241002,9868,-3048,-7060
20241004,672,428,-2168
20241007,-1462,290,856
20241008,6978,-3766,-3498
20241010,1477,1607,-2955
20241011,2849,-5963,2775
20241014,-4562,904,3282
20241015,-3436,2878,117
20241016,6535,-6574,-400
20241017,1615,-4044,2007
20241018,3590,-4778,950
20241021,-2684,187,2683
20241022,5672,-2808,-3073
20241023,-5141,2116,2990
20241024,6254,-6042,-534
20241025,2973,-3872,769
20241028,-3356,-1392,4663
20241029,1099,-1191,178
20241030,2711,-3358,419
20241031,5571,-8583,3315
20241101,2127,-376,-1881
20241104,-3838,284,3417
20241105,3883,-1435,-2857
20241106,17,-1027,520
20241107,-2376,1076,1098
20241108,-1118,-131,1175
20241111,6764,-4821,-2380
20241112,3309,-3097,-318
20241113,6512,-6281,-642
20241114,-1142,-2321,2823
20241115,379,-613,-302
20241118,53,-503,-171
20241119,-1691,-3303,4581
20241120,-910,-1837,1737
20241121,-1253,-2600,2968
20241122,-5332,1162,3226
20241125,-4515,-768,4531
20241126,1862,-676,-2374
20241127,-330,-3344,3004
20241128,798,-4914,3105
20241129,5882,-7483,509
20241202,-3200,-1301,3892
20241203,-8338,5645,2796
20241204,3398,-4080,162
20241205,1637,-3164,562
20241206,-5816,-2843,8256
20241209,-8909,1049,6916
20241210,-4210,-1067,4596
20241211,-1227,-1413,1765
20241212,-2520,-227,1563
20241213,-821,-1746,1398
20241216,3668,-4321,1
20241217,4647,-7012,1566
20241218,-4684,3922,1339
20241219,8024,-4288,-5099
20241220,7890,-8181,-883
20241223,-6836,1449,4352
20241224,-1068,-66,239
20241226,-3242,199,1858
20241227,2256,-1716,-1159
20241230,-306,-1205,557
20250102,4143,-2388,-2589
20250103,-6985,2801,3204
20250106,-5370,3662,654
20250107,-2049,1587,-423
20250108,-3855,2209,1096
20250109,-3270,7482,-5056
20250110,3381,-16,-3976
20250113,7486,-8717,260
20250114,2992,-2946,-580
20250115,1231,561,-2590
20250116,-5757,6244,190
20250117,2864,-2331,-1007
20250120,2767,-4162,664
20250121,534,-1731,620
20250122,-8232,3500,4208
20250123,7596,-6174,-2032
20250124,-3830,2751,436
20250131,9620,-11679,2859
20250203,11220,-8689,-3704
20250204,-2932,799,1231
20250205,-1929,645,312
20250206,-6060,3516,1612
20250207,3302,-2389,-2099
20250210,-700,-2786,2626
20250211,-4694,1402,2437
20250212,-1982,3729,-2217
20250213,-6096,-1138,6730
20250214,-652,-3218,3661
20250217,-336,-2228,2431
20250218,-1884,185,1648
20250219,-12186,3927,7767
20250220,2907,-2904,-1079
20250221,28,-2181,1181
20250224,1929,-2040,-925
20250225,3121,-3190,-944
20250226,-201,-3228,2404
20250227,4810,-1754,-3389
20250228,20324,-15524,-6167
20250304,2044,-1896,-1473
20250305,911,-2233,479
20250306,-3693,1382,1561
20250307,-1941,596,279
20250310,2097,-4242,1428
20250311,4929,-15373,-2381
20250312,-5050,3790,319
20250313,-737,-4804,4448
20250314,2079,-2894,-205
20250317,-11804,6152,4947
20250318,-6126,4408,950
20250319,-6744,3026,2873
20250320,-7013,5487,664
20250321,-5379,8478,-4020
20250324,-781,76,-288
20250325,-642,-787,691
20250326,-6798,3504,2603
20250327,1196,877,-3152
20250328,5408,-6403,31
20250331,7891,-15754,6673
20250401,866,-3901,1806
20250402,4791,-7242,1480
20250403,8014,-13752,4610
20250404,10770,-17869,6211
20250407,16721,-20957,2571
20250408,6029,-6425,-898
20250409,9389,-10007,-698
20250410,-10693,3287,6682
20250411,4339,-6888,1378
20250414,1939,-2420,-67
20250415,-1468,-1177,1831
20250416,3835,-4577,-153
20250417,-1102,-3519,3689
20250418,-223,-1052,816
20250421,1864,-2886,234
20250422,1667,-2430,107
20250423,-5485,-1977,6866
20250424,1351,-77,-1987
20250425,-7741,6126,5072
20250428,-496,-854,916
20250429,-1591,6925,-5804
20250430,3055,-1688,-2210
20250502,-2349,-1702,3228
20250507,-4646,3488,869
20250508,-13,1303,-1898
20250509,632,675,-1873
20250512,-3907,-71,3429
20250513,-1360,1714,-893
20250514,-10024,4704,5348
20250515,460,2723,-3681
20250516,-2823,1694,1134
20250519,2986,-1134,-1948
20250520,206,-1145,610
20250521,-3315,1920,1046
20250522,6848,-2237,-4319
20250523,1347,-585,-1026
20250526,-5158,1015,4323
20250527,537,-781,-201
20250528,-9907,2999,7438
20250529,-9963,2897,6842
20250530,6051,-6070,-160
20250602,982,1250,-2415
20250604,-12260,10507,2046
20250605,-11892,9801,2207
20250609,-2301,9767,-7332
20250610,-6269,6323,142
20250611,-3663,1661,2304
20250612,-1794,4073,-2304
20250613,4674,1210,-6461
20250616,463,-3224,2524
20250617,2245,-953,-1006
20250618,-4318,2870,1101
20250619,3500,-826,-3018
20250620,-5966,5626,372
20250623,13797,-3668,-9485
20250624,-5676,4383,2594
20250625,7580,-1108,-5883
20250626,8325,-5794,-4080
20250627,4868,-8580,3434
20250630,1892,-6489,4757
20250701,-6405,1760,4745
20250702,2329,-3278,720
20250703,-12330,6427,5484
20250704,2575,1624,-3822
20250707,1558,-937,-811
20250708,-2549,2461,-326
20250709,4310,-4105,-571
20250710,-5869,4694,447
20250711,1250,3259,-743
20250714,-3568,3707,-947
20250715,-3102,2123,-167
20250716,4016,555,-5525
20250717,-3356,493,1583
20250718,-3411,1878,320
20250721,-10578,8935,994
20250722,4780,-1288,-4128
20250723,-6982,4228,1917
20250724,-9513,7386,1273
20250725,-4616,2706,1100
20250728,-9975,4753,4520
20250729,-8259,6054,1167
20250730,-9844,5783,3307
20250731,2235,3450,-7053
20250801,16283,-6524,-10720
20250804,-2996,830,1316
20250805,-4785,2919,947
20250806,474,2804,-4020
20250807,-2048,-171,1092
20250808,1835,-1576,-1318
20250811,-1407,2169,-2160
20250812,634,-604,-981
20250813,-6648,6349,-809
20250814,-534,-779,197
20250818,3570,-4881,813
20250819,904,-4544,2539
20250820,-3929,-2185,5024
20250821,-2591,-152,1598
20250822,-4572,1826,1556
20250825,-3857,1224,1543
20250826,8519,-6836,-2657
20250827,569,-2023,277
20250828,-3939,-241,3264
20250829,2353,-3724,648
20250901,3469,-2720,-1940
20250902,-3474,4010,-1416
20250903,-1563,4359,-3756
20250904,-2847,2025,-232
20250905,-552,-1374,1124
20250908,-3848,2301,778
20250909,-10371,6808,2806
20250910,-22634,13817,9046
20250911,-11493,3000,8225
20250912,-20287,14355,6119
20250915,-1374,2667,-1376
20250916,-17637,17927,1083
20250917,2522,-347,-3075
20250918,-7816,2851,4294
20250919,5332,-3080,-3357
20250922,-7682,5653,2672
20250923,-2462,3414,-1363
20250924,17,-2486,2124
20250925,-5411,2196,2707
20250926,10997,-5707,-4892
20250929,-7480,4472,3014
20250930,-265,230,-497
20251001,-10812,8455,2208
20251002,-30715,31265,-675
20251010,-5022,10592,-5936
20251013,11649,-8220,-4471
20251014,20,5581,-6299
20251015,-9706,1631,7512
20251016,-13936,6533,7813
20251017,-3122,4438,-1688
20251020,-4109,-2500,6428
20251021,-1556,-124,2116
20251022,-769,-7033,7633
20251023,7505,-4071,-3972
20251024,-20005,5756,14054
20251027,-7969,6471,2343
20251028,15728,-16379,925
20251029,-3583,-1066,5196
20251030,9363,-1173,-8379
20251031,-2018,13212,-11064
20251103,6256,-7949,1841
20251104,27009,-22282,-4989
20251105,25538,-20695,-1877
20251106,8840,-16950,8301
20251107,6791,-4550,-2446
20251110,-11607,-1510,13066
20251111,-2830,770,2247
20251112,-4423,-4265,9093
20251113,-2343,9989,-7179
20251114,32346,-23575,-9005
20251117,-5000,5189,-245
20251118,12382,-5500,-6788
20251119,4450,-10495,6256
20251120,-13817,7406,7566
20251121,22695,-28229,4935
20251124,-4619,-7993,12719
20251125,-276,49,315
20251126,-18048,5158,12280
20251127,-6152,1546,4326
20251128,15685,-20369,4587
20251201,528,2235,-2333
20251202,-15763,12147,3929
20251203,-8984,2816,7364
20251204,5585,-6960,1318
20251205,-21156,9934,11528
20251208,-3449,3211,-308
20251209,-133,-889,494
20251210,-889,3739,-3003
20251211,3922,3656,-7753
20251212,-14625,414,14184
20251215,14210,-9569,-4803
20251216,12410,-10305,-2309
20251217,-3374,-322,3353
20251218,4130,-3459,-1006
20251219,-1412,-7573,8541
